application_id,image,beverage_type,brand_name,class_type,alcohol_content,net_contents,bottler_address
"APP-10001","t6-batch-001.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10002","t6-batch-002.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10003","t6-batch-003.png","spirits","Stone's Throw","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10004","t6-batch-004.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10005","t6-batch-005.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10006","t6-batch-006.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10007","t6-batch-007.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10008","t6-batch-008.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10009","t6-batch-009.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10010","t6-batch-010.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10011","t6-batch-011.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
"APP-10012","t6-batch-012.png","spirits","OLD TOM DISTILLERY","Kentucky Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Old Tom Distillery, Bardstown, Kentucky"
